LEGO,Theme,Set Number,Set Name,Release Date,Minifigures,Piece Count,MSRP,PPP,PPM,Dahlen,,,,Garrett,Mom,Dad,,
TRUE,City,60384,Penguin Slushy Van,2023,2,186,$19.99,$0.11,$10.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60386,Recycling Truck,2023,3,249,$29.99,$0.12,$10.00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60404,Burger Truck,2024,2,186,$19.99,$0.11,$10.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,City,60452,Donut Truck,2025,2,196,$19.99,$0.10,$10.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,Creator,31012,Family House,2013,2,748,$69.99,$0.09,$35.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Creator,31109,Pirate Ship,2020,4,1242,$119.99,$0.10,$30.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,Creator,31120,Midieval Castle ,2021,4,1408,$99.99,$0.07,$25.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,Creator,31134,Space Shuttle,2023,0,144,$9.99,$0.07,-,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Creator,31153,Modern House,2024,2,931,$99.99,$0.11,$50.00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,Creator,30670,Santa's Sleigh Ride Polybag,2024,0,73,$4.99,$0.07,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,DC,30160,Batman: Jet Surfer Polybag,2012,1,35,$4.99,$0.14,$4.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,DC,6864,Batmobile and the Two-Face Chase,2012,5,510,$49.99,$0.10,$10.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,DC,6858,Catwoman Catcycle City Chase,2012,2,72,$12.99,$0.18,$6.50,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,DC,30164,Lex Luthor Polybag,2012,1,10,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,DC,6862,Superman vs. Power Armor Lex,2012,3,195,$19.99,$0.10,$6.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,DC,6860,The Batcave,2012,5,669,$69.99,$0.10,$14.00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,DC,6857,The Dynamic Duo Funhouse Escape,2012,5,358,$39.99,$0.11,$8.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,DC,76000,Arctic Batman vs. Mr. Freeze: Aquaman on Ice,2013,3,184,$19.99,$0.11,$6.66,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,DC,30166,Robin and Redbird Cycle Polybag,2013,1,35,$4.99,$0.14,$4.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
